,r,h,y,g,l,i,v,k,o,m,u,b,x,t,z,f,w,s,a,p,e,n,c,d,final
q120,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q121,q69,q0,q0,q57,q65,q122,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q122,q69,q0,q0,q123,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q123,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q124,q10,q26,0
q124,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q125,q0,q10,q26,0
q125,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q126,0
q126,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q127,q69,q0,q0,q57,q65,q61,q127,q0,q128,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q128,q69,q0,q0,q57,q131,q129,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q129,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q130,0
q130,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q131,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q132,q0,q38,q0,q10,q26,0
q132,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q133,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q133,q69,q0,q0,q57,q65,q134,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q134,q69,q0,q0,q57,q135,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q135,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q136,q0,q10,q26,0
q136,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q137,q69,q138,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q138,q69,q0,q0,q57,q65,q139,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q139,q69,q0,q0,q57,q140,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q140,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q141,q0,q10,q26,0
q141,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
