Time,X,Y,Z,R,Theta,Phi,label
1.8398489,4.589684,6.732495,5.272032,9.704948,57.096115,55.716919,BUENO
1.8498439,4.607641,6.731298,5.226542,9.688006,57.351353,55.607967,BUENO
1.8598489,4.616021,6.698977,5.220557,9.666341,57.311203,55.430691,BUENO
1.8698219,4.665102,6.684611,5.212177,9.675433,57.404667,55.089321,BUENO
1.879805,4.778827,6.721721,5.272032,9.788414,57.411667,54.588966,BUENO
1.889948,4.893748,6.805518,5.316325,9.926085,57.615978,54.280643,BUENO
1.899847,4.951209,6.861782,5.305551,9.987362,57.91164,54.187172,BUENO
1.909835,4.99191,6.909666,5.383362,10.081828,57.726124,54.153648,BUENO
1.920413,5.038598,6.941988,5.380968,10.125881,57.899403,54.027302,BUENO
1.9301379,5.100847,6.989872,5.373785,10.185996,58.158852,53.879967,BUENO
1.9404899,5.140351,7.041347,5.371391,10.239903,58.361721,53.869667,BUENO
1.9511139,5.09127,7.079654,5.462371,10.289803,57.936905,54.278538,BUENO
1.960258,5.063736,7.126341,5.479131,10.317317,57.922791,54.603691,BUENO
1.9706649,4.966772,7.17662,5.475539,10.303117,57.896866,55.313789,BUENO
1.9800539,4.842273,7.241263,5.493496,10.29864,57.763206,56.229134,BUENO
1.9899629,4.687847,7.269993,5.489904,10.245378,57.598965,57.185211,BUENO
2.0000749,4.59567,7.267599,5.505467,10.210208,57.369984,57.692764,BUENO
2.010196,4.58729,7.268796,5.574899,10.244907,57.03252,57.744244,BUENO
2.020026,4.545392,7.222109,5.560534,10.185233,56.91103,57.814846,BUENO
2.03057,4.471172,7.140707,5.510255,10.066975,56.813942,57.947155,BUENO
2.040036,4.408922,7.049727,5.445612,9.939413,56.778263,57.978004,BUENO
2.050626,4.370615,6.9372,5.398925,9.817098,56.636333,57.788013,BUENO
2.0598819,4.344279,6.797139,5.337873,9.67299,56.507164,57.415993,BUENO
2.0703549,4.344279,6.671443,5.29358,9.560487,56.379219,56.928818,BUENO
2.079937,4.314352,6.585252,5.329493,9.50698,55.903568,56.769043,BUENO
2.090018,4.313154,6.554127,5.377377,9.51189,55.574642,56.651798,BUENO
2.09988,4.303577,6.542156,5.476737,9.555901,55.03149,56.662182,BUENO
2.110018,4.316746,6.568492,5.511452,9.599766,54.96172,56.687496,BUENO
2.1198719,4.377798,6.591237,5.527015,9.651809,55.065453,56.408504,BUENO
2.1298299,4.40174,6.587646,5.542577,9.669155,55.024754,56.249908,BUENO
2.139858,4.423288,6.546945,5.507861,9.631433,55.119751,55.956005,BUENO
2.1498859,4.452018,6.520608,5.499481,9.622011,55.141468,55.676254,BUENO
2.1598971,4.460398,6.530185,5.538986,9.654989,54.991947,55.665241,BUENO
2.169806,4.490325,6.604405,5.626374,9.7692,54.835224,55.788277,BUENO
2.1803188,4.502296,6.698977,5.748478,9.909185,54.541286,56.095459,BUENO
2.1900709,4.503493,6.80073,5.862203,10.04474,54.2952,56.487179,BUENO
2.200289,4.486734,6.903681,5.896919,10.12745,54.38958,56.979977,BUENO
2.2103989,4.495114,6.973113,5.808333,10.127541,55.004044,57.192749,BUENO
2.2199738,4.471172,6.955156,5.880159,10.146027,54.580894,57.264771,BUENO
2.229919,4.450821,6.936002,5.823895,10.091368,54.75201,57.311779,BUENO
2.2407758,4.420894,6.900089,5.821501,10.052135,54.610565,57.352276,BUENO
2.2504029,4.407725,6.927623,5.868188,10.092356,54.447487,57.533295,BUENO
2.2602391,4.376601,6.968324,5.870583,10.108211,54.495026,57.868271,BUENO
2.2701371,4.331111,6.981492,5.83467,10.07686,54.618591,58.18576,BUENO
2.280057,4.259285,6.974309,5.803545,10.023155,54.618793,58.587143,BUENO
2.2900429,4.182671,6.931214,5.813122,9.966386,54.318935,58.890942,BUENO
2.3005209,4.143166,6.865374,5.849035,9.925241,53.892006,58.889549,BUENO
2.3098938,4.164714,6.770802,5.887342,9.891886,53.47533,58.404369,BUENO
2.319936,4.250905,6.678626,5.932832,9.893064,53.151867,57.523495,BUENO
2.3300338,4.33949,6.602011,5.947197,9.888725,53.028915,56.683151,BUENO
2.339968,4.380192,6.556521,5.936423,9.869913,53.024994,56.254444,BUENO
2.3504398,4.387374,6.56131,5.870583,9.836848,53.359295,56.2304,BUENO
2.360024,4.370615,6.64391,5.813122,9.850696,53.834263,56.661572,BUENO
2.3700719,4.340688,6.773197,5.786786,9.909826,54.271561,57.345715,BUENO
2.3799701,4.328717,6.877345,5.793968,9.980267,54.511295,57.812996,BUENO
2.3901618,4.298789,6.864176,5.829881,9.979179,54.253189,57.942551,BUENO
2.4000959,4.272453,6.754043,5.851429,9.905058,53.789639,57.683491,BUENO
2.4101088,4.26527,6.641516,5.856217,9.828404,53.427021,57.290878,BUENO
2.4206679,4.278439,6.567295,5.82629,9.766271,53.375175,56.916698,BUENO
2.4301848,4.295198,6.55293,5.779603,9.736192,53.585648,56.756672,BUENO
2.4400969,4.29041,6.613982,5.728127,9.744938,53.998569,57.029018,BUENO
2.4501719,4.298789,6.727707,5.716156,9.819169,54.398617,57.422726,BUENO
2.4600759,4.334702,6.839037,5.767632,9.94121,54.537216,57.632755,BUENO
2.4699697,4.390966,6.865374,5.825093,10.017267,54.44352,57.397774,BUENO
2.4799538,4.40174,6.774394,5.844246,9.971105,54.117973,56.985741,BUENO
2.4900749,4.412514,6.666655,5.846641,9.904431,53.821308,56.50029,BUENO
2.5007758,4.416105,6.59842,5.828684,9.849604,53.7174,56.206905,BUENO
2.5100269,4.407725,6.584054,5.823895,9.83339,53.682655,56.19949,BUENO
